host,date,runtime,runtime_version,model,quant,bits_per_weight,suite,threads,kernel,backend,decode_tok_per_s,ttft_ms,weight_bytes_per_token,achieved_gbps,memcpy_gbps,roofline_pct,peak_rss_mb,joules_per_token,energy_source,status,note
DESKTOP-HV2MQTM,2026-08-23T20:35:16Z,tritium,0.1.0,models/bitnet-2b4t.trit,ternary-1.58,2.0,benches/prompts/short.jsonl,1,avx512vnni,cpu/avx512vnnix1,13.278,499.3,1834352640,24.36,47.70701242217866,51.052659791625345,1846,,none,ok,
DESKTOP-HV2MQTM,2026-08-23T20:35:16Z,llama.cpp,,qwen2.5-3b-instruct-q4_k_m.gguf,Q4_K_M,4.5,llama-bench:tg32-empty-context,1,,cpu,13.91,,,,,,,,none,ok,2104 MB file; different model and quality point; median of 3
DESKTOP-HV2MQTM,2026-08-23T20:35:16Z,bitnet.cpp,,bitnet-2b4t-i2_s.gguf,I2_S,2.0,llama-bench:tg32-empty-context,1,,cpu,12.54,,,,,,,,none,ok,1187 MB file; same checkpoint; f16 token_embd; median of 3
DESKTOP-HV2MQTM,2026-08-23T20:37:37Z,tritium,0.1.0,models/bitnet-2b4t.trit,ternary-1.58,2.0,benches/prompts/short.jsonl,2,avx512vnni,cpu/avx512vnnix2,14.609,462.7,1834352640,26.8,47.573636308776976,56.329710044104985,1846,,none,ok,
DESKTOP-HV2MQTM,2026-08-23T20:37:37Z,llama.cpp,,qwen2.5-3b-instruct-q4_k_m.gguf,Q4_K_M,4.5,llama-bench:tg32-empty-context,2,,cpu,20.01,,,,,,,,none,ok,2104 MB file; different model and quality point; median of 3
DESKTOP-HV2MQTM,2026-08-23T20:37:37Z,bitnet.cpp,,bitnet-2b4t-i2_s.gguf,I2_S,2.0,llama-bench:tg32-empty-context,2,,cpu,19.64,,,,,,,,none,ok,1187 MB file; same checkpoint; f16 token_embd; median of 3
DESKTOP-HV2MQTM,2026-08-23T20:39:12Z,tritium,0.1.0,models/bitnet-2b4t.trit,ternary-1.58,2.0,benches/prompts/short.jsonl,4,avx512vnni,cpu/avx512vnnix4,15.226,446.8,1834352640,27.93,51.839690516984334,53.8762466520396,1846,,none,ok,
DESKTOP-HV2MQTM,2026-08-23T20:39:12Z,llama.cpp,,qwen2.5-3b-instruct-q4_k_m.gguf,Q4_K_M,4.5,llama-bench:tg32-empty-context,4,,cpu,25.54,,,,,,,,none,ok,2104 MB file; different model and quality point; median of 3
DESKTOP-HV2MQTM,2026-08-23T20:39:12Z,bitnet.cpp,,bitnet-2b4t-i2_s.gguf,I2_S,2.0,llama-bench:tg32-empty-context,4,,cpu,27.29,,,,,,,,none,ok,1187 MB file; same checkpoint; f16 token_embd; median of 3
DESKTOP-HV2MQTM,2026-08-23T20:40:35Z,tritium,0.1.0,models/bitnet-2b4t.trit,ternary-1.58,2.0,benches/prompts/short.jsonl,8,avx512vnni,cpu/avx512vnnix8,15.226,445.8,1834352640,27.93,50.05768852789788,55.79458784356861,1845,,none,ok,
DESKTOP-HV2MQTM,2026-08-23T20:40:35Z,llama.cpp,,qwen2.5-3b-instruct-q4_k_m.gguf,Q4_K_M,4.5,llama-bench:tg32-empty-context,8,,cpu,24.72,,,,,,,,none,ok,2104 MB file; different model and quality point; median of 3
DESKTOP-HV2MQTM,2026-08-23T20:40:35Z,bitnet.cpp,,bitnet-2b4t-i2_s.gguf,I2_S,2.0,llama-bench:tg32-empty-context,8,,cpu,31.90,,,,,,,,none,ok,1187 MB file; same checkpoint; f16 token_embd; median of 3
DESKTOP-HV2MQTM,2026-08-23T20:41:59Z,tritium,0.1.0,models/bitnet-2b4t.trit,ternary-1.58,2.0,benches/prompts/short.jsonl,16,avx512vnni,cpu/avx512vnnix16,14.985,454.5,1834352640,27.49,47.855573698100095,57.4390176620854,1846,,none,ok,
DESKTOP-HV2MQTM,2026-08-23T20:41:59Z,llama.cpp,,qwen2.5-3b-instruct-q4_k_m.gguf,Q4_K_M,4.5,llama-bench:tg32-empty-context,16,,cpu,22.84,,,,,,,,none,ok,2104 MB file; different model and quality point; median of 3
DESKTOP-HV2MQTM,2026-08-23T20:41:59Z,bitnet.cpp,,bitnet-2b4t-i2_s.gguf,I2_S,2.0,llama-bench:tg32-empty-context,16,,cpu,30.51,,,,,,,,none,ok,1187 MB file; same checkpoint; f16 token_embd; median of 3
