host,date,runtime,runtime_version,model,quant,bits_per_weight,suite,threads,kernel,backend,decode_tok_per_s,ttft_ms,weight_bytes_per_token,achieved_gbps,memcpy_gbps,roofline_pct,peak_rss_mb,joules_per_token,energy_source,status,note
DESKTOP-HV2MQTM,2026-09-22T21:07:05Z,tritium,0.1.0,models/bitnet-2b4t.trit,ternary-1.58,2.0,benches/prompts/short.jsonl,1,avx512vnni,cpu/avx512vnnix1,17.292,390.2,1177681920,20.36,42.347528372369865,48.08993843950968,1221,,none,ok,
DESKTOP-HV2MQTM,2026-09-22T21:07:05Z,llama.cpp,,qwen2.5-3b-instruct-q4_k_m.gguf,Q4_K_M,4.5,llama-bench:tg32-empty-context,1,,cpu,14.71,,,,,,,,none,ok,2104 MB file; different model and quality point; median of 3
DESKTOP-HV2MQTM,2026-09-22T21:07:05Z,bitnet.cpp,,bitnet-2b4t-i2_s.gguf,I2_S,2.0,llama-bench:tg32-empty-context,1,,cpu,12.70,,,,,,,,none,ok,1187 MB file; same checkpoint; f16 token_embd; median of 3
DESKTOP-HV2MQTM,2026-09-22T21:08:51Z,tritium,0.1.0,models/bitnet-2b4t.trit,ternary-1.58,2.0,benches/prompts/short.jsonl,2,avx512vnni,cpu/avx512vnnix2,26.406,237.9,1177681920,31.1,46.78399160090788,66.47240632559807,1221,,none,ok,
DESKTOP-HV2MQTM,2026-09-22T21:08:51Z,llama.cpp,,qwen2.5-3b-instruct-q4_k_m.gguf,Q4_K_M,4.5,llama-bench:tg32-empty-context,2,,cpu,22.49,,,,,,,,none,ok,2104 MB file; different model and quality point; median of 3
DESKTOP-HV2MQTM,2026-09-22T21:08:51Z,bitnet.cpp,,bitnet-2b4t-i2_s.gguf,I2_S,2.0,llama-bench:tg32-empty-context,2,,cpu,20.43,,,,,,,,none,ok,1187 MB file; same checkpoint; f16 token_embd; median of 3
DESKTOP-HV2MQTM,2026-09-22T21:09:47Z,tritium,0.1.0,models/bitnet-2b4t.trit,ternary-1.58,2.0,benches/prompts/short.jsonl,4,avx512vnni,cpu/avx512vnnix4,34.534,185.5,1177681920,40.67,55.043743333184324,73.88719367325331,1221,,none,ok,
DESKTOP-HV2MQTM,2026-09-22T21:09:47Z,llama.cpp,,qwen2.5-3b-instruct-q4_k_m.gguf,Q4_K_M,4.5,llama-bench:tg32-empty-context,4,,cpu,22.80,,,,,,,,none,ok,2104 MB file; different model and quality point; median of 3
DESKTOP-HV2MQTM,2026-09-22T21:09:47Z,bitnet.cpp,,bitnet-2b4t-i2_s.gguf,I2_S,2.0,llama-bench:tg32-empty-context,4,,cpu,28.08,,,,,,,,none,ok,1187 MB file; same checkpoint; f16 token_embd; median of 3
DESKTOP-HV2MQTM,2026-09-22T21:10:34Z,tritium,0.1.0,models/bitnet-2b4t.trit,ternary-1.58,2.0,benches/prompts/short.jsonl,8,avx512vnni,cpu/avx512vnnix8,34.026,190.1,1177681920,40.07,50.86140931347588,78.78704068671132,1220,,none,ok,
DESKTOP-HV2MQTM,2026-09-22T21:10:34Z,llama.cpp,,qwen2.5-3b-instruct-q4_k_m.gguf,Q4_K_M,4.5,llama-bench:tg32-empty-context,8,,cpu,25.64,,,,,,,,none,ok,2104 MB file; different model and quality point; median of 3
DESKTOP-HV2MQTM,2026-09-22T21:10:34Z,bitnet.cpp,,bitnet-2b4t-i2_s.gguf,I2_S,2.0,llama-bench:tg32-empty-context,8,,cpu,31.13,,,,,,,,none,ok,1187 MB file; same checkpoint; f16 token_embd; median of 3
DESKTOP-HV2MQTM,2026-09-22T21:11:19Z,tritium,0.1.0,models/bitnet-2b4t.trit,ternary-1.58,2.0,benches/prompts/short.jsonl,16,avx512vnni,cpu/avx512vnnix16,32.639,201.2,1177681920,38.44,50.46731202022787,76.16557134075741,1219,,none,ok,
DESKTOP-HV2MQTM,2026-09-22T21:11:19Z,llama.cpp,,qwen2.5-3b-instruct-q4_k_m.gguf,Q4_K_M,4.5,llama-bench:tg32-empty-context,16,,cpu,23.66,,,,,,,,none,ok,2104 MB file; different model and quality point; median of 3
DESKTOP-HV2MQTM,2026-09-22T21:11:19Z,bitnet.cpp,,bitnet-2b4t-i2_s.gguf,I2_S,2.0,llama-bench:tg32-empty-context,16,,cpu,30.28,,,,,,,,none,ok,1187 MB file; same checkpoint; f16 token_embd; median of 3
